episode,epsilon,total_reward,steps,success,wall_hits,penalty_entries,key_obtained,energy_left,end_event,active_traces_max
0,1.0,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
1,1.0,-110.0,50,0,10,0,0,0,ENERGY_DEPLETED,8
2,1.0,-110.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
3,0.9999,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
4,0.9999,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
5,0.9999,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
6,0.9999,-118.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
7,0.9998,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
8,0.9998,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
9,0.9998,-174.0,50,0,25,0,0,0,ENERGY_DEPLETED,8
10,0.9998,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
11,0.9997,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
12,0.9997,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
13,0.9997,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
14,0.9997,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
15,0.9996,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
16,0.9996,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
17,0.9996,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
18,0.9996,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
19,0.9995,-56.0,50,0,9,0,1,0,ENERGY_DEPLETED,8
20,0.9995,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
21,0.9995,-118.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
22,0.9995,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
23,0.9994,-178.0,50,0,26,0,0,0,ENERGY_DEPLETED,8
24,0.9994,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
25,0.9994,-86.0,50,0,4,0,0,0,ENERGY_DEPLETED,8
26,0.9994,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
27,0.9993,-170.0,50,0,25,0,0,0,ENERGY_DEPLETED,8
28,0.9993,-110.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
29,0.9993,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
30,0.9993,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
31,0.9992,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
32,0.9992,-150.0,50,0,20,0,0,0,ENERGY_DEPLETED,8
33,0.9992,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
34,0.9992,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
35,0.9991,-150.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
36,0.9991,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
37,0.9991,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
38,0.9991,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
39,0.999,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
40,0.999,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
41,0.999,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
42,0.999,-110.0,50,0,10,0,0,0,ENERGY_DEPLETED,8
43,0.9989,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
44,0.9989,-154.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
45,0.9989,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
46,0.9989,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
47,0.9988,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
48,0.9988,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
49,0.9988,-138.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
50,0.9988,-146.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
51,0.9987,-151.0,50,0,17,1,0,0,ENERGY_DEPLETED,8
52,0.9987,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
53,0.9987,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
54,0.9987,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
55,0.9986,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
56,0.9986,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
57,0.9986,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
58,0.9986,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
59,0.9985,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
60,0.9985,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
61,0.9985,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
62,0.9985,-118.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
63,0.9984,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
64,0.9984,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
65,0.9984,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
66,0.9984,-150.0,50,0,20,0,0,0,ENERGY_DEPLETED,8
67,0.9983,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
68,0.9983,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
69,0.9983,-99.0,50,0,5,1,0,0,ENERGY_DEPLETED,8
70,0.9983,-158.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
71,0.9982,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
72,0.9982,-130.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
73,0.9982,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
74,0.9982,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
75,0.9981,-56.0,50,0,9,0,1,0,ENERGY_DEPLETED,8
76,0.9981,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
77,0.9981,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
78,0.9981,-166.0,50,0,23,0,0,0,ENERGY_DEPLETED,8
79,0.998,-118.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
80,0.998,-154.0,50,0,20,0,0,0,ENERGY_DEPLETED,8
81,0.998,-56.0,50,0,9,0,1,0,ENERGY_DEPLETED,8
82,0.998,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
83,0.9979,-162.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
84,0.9979,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
85,0.9979,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
86,0.9979,-170.0,50,0,25,0,0,0,ENERGY_DEPLETED,8
87,0.9978,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
88,0.9978,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
89,0.9978,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
90,0.9978,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
91,0.9977,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
92,0.9977,-102.0,50,0,7,0,0,0,ENERGY_DEPLETED,8
93,0.9977,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
94,0.9977,-60.0,50,0,10,0,1,0,ENERGY_DEPLETED,8
95,0.9976,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
96,0.9976,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
97,0.9976,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
98,0.9976,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
99,0.9975,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
100,0.9975,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
101,0.9975,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
102,0.9975,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
103,0.9974,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
104,0.9974,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
105,0.9974,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
106,0.9974,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
107,0.9973,-150.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
108,0.9973,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
109,0.9973,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
110,0.9973,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
111,0.9972,-102.0,50,0,7,0,0,0,ENERGY_DEPLETED,8
112,0.9972,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
113,0.9972,-158.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
114,0.9972,-110.0,50,0,10,0,0,0,ENERGY_DEPLETED,8
115,0.9971,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
116,0.9971,-154.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
117,0.9971,-44.0,50,0,6,0,1,0,ENERGY_DEPLETED,8
118,0.9971,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
119,0.997,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
120,0.997,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
121,0.997,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
122,0.997,-106.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
123,0.9969,-98.0,50,0,7,0,0,0,ENERGY_DEPLETED,8
124,0.9969,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
125,0.9969,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
126,0.9969,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
127,0.9968,-158.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
128,0.9968,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
129,0.9968,-130.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
130,0.9968,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
131,0.9967,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
132,0.9967,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
133,0.9967,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
134,0.9967,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
135,0.9966,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
136,0.9966,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
137,0.9966,-146.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
138,0.9966,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
139,0.9965,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
140,0.9965,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
141,0.9965,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
142,0.9965,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
143,0.9964,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
144,0.9964,-130.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
145,0.9964,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
146,0.9964,-114.0,50,0,10,0,0,0,ENERGY_DEPLETED,8
147,0.9963,-110.0,50,0,10,0,0,0,ENERGY_DEPLETED,8
148,0.9963,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
149,0.9963,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
150,0.9963,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
151,0.9962,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
152,0.9962,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
153,0.9962,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
154,0.9962,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
155,0.9961,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
156,0.9961,-162.0,50,0,23,0,0,0,ENERGY_DEPLETED,8
157,0.9961,-154.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
158,0.9961,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
159,0.996,-154.0,50,0,20,0,0,0,ENERGY_DEPLETED,8
160,0.996,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
161,0.996,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
162,0.996,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
163,0.9959,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
164,0.9959,-150.0,50,0,20,0,0,0,ENERGY_DEPLETED,8
165,0.9959,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
166,0.9959,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
167,0.9958,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
168,0.9958,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
169,0.9958,-146.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
170,0.9958,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
171,0.9957,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
172,0.9957,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
173,0.9957,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
174,0.9957,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
175,0.9956,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
176,0.9956,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
177,0.9956,-150.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
178,0.9956,-122.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
179,0.9955,-162.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
180,0.9955,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
181,0.9955,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
182,0.9955,-48.0,50,0,7,0,1,0,ENERGY_DEPLETED,8
183,0.9954,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
184,0.9954,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
185,0.9954,-162.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
186,0.9954,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
187,0.9953,-170.0,50,0,24,0,0,0,ENERGY_DEPLETED,8
188,0.9953,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
189,0.9953,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
190,0.9953,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
191,0.9952,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
192,0.9952,-166.0,50,0,23,0,0,0,ENERGY_DEPLETED,8
193,0.9952,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
194,0.9952,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
195,0.9951,-158.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
196,0.9951,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
197,0.9951,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
198,0.9951,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
199,0.995,-166.0,50,0,24,0,0,0,ENERGY_DEPLETED,8
200,0.995,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
201,0.995,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
202,0.995,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
203,0.9949,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
204,0.9949,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
205,0.9949,-130.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
206,0.9949,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
207,0.9948,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
208,0.9948,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
209,0.9948,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
210,0.9948,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
211,0.9947,-130.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
212,0.9947,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
213,0.9947,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
214,0.9947,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
215,0.9946,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
216,0.9946,-150.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
217,0.9946,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
218,0.9946,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
219,0.9945,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
220,0.9945,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
221,0.9945,-150.0,50,0,20,0,0,0,ENERGY_DEPLETED,8
222,0.9945,-166.0,50,0,23,0,0,0,ENERGY_DEPLETED,8
223,0.9944,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
224,0.9944,-137.0,50,0,10,3,0,0,ENERGY_DEPLETED,8
225,0.9944,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
226,0.9944,-106.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
227,0.9943,-154.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
228,0.9943,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
229,0.9943,-72.0,50,0,13,0,1,0,ENERGY_DEPLETED,8
230,0.9943,-162.0,50,0,23,0,0,0,ENERGY_DEPLETED,8
231,0.9942,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
232,0.9942,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
233,0.9942,-130.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
234,0.9942,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
235,0.9942,-98.0,50,0,6,0,0,0,ENERGY_DEPLETED,8
236,0.9941,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
237,0.9941,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
238,0.9941,-150.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
239,0.9941,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
240,0.994,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
241,0.994,-150.0,50,0,20,0,0,0,ENERGY_DEPLETED,8
242,0.994,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
243,0.994,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
244,0.9939,-150.0,50,0,20,0,0,0,ENERGY_DEPLETED,8
245,0.9939,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
246,0.9939,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
247,0.9939,-162.0,50,0,23,0,0,0,ENERGY_DEPLETED,8
248,0.9938,-162.0,50,0,23,0,0,0,ENERGY_DEPLETED,8
249,0.9938,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
250,0.9938,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
251,0.9938,-166.0,50,0,23,0,0,0,ENERGY_DEPLETED,8
252,0.9937,-158.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
253,0.9937,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
254,0.9937,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
255,0.9937,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
256,0.9936,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
257,0.9936,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
258,0.9936,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
259,0.9936,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
260,0.9935,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
261,0.9935,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
262,0.9935,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
263,0.9935,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
264,0.9934,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
265,0.9934,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
266,0.9934,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
267,0.9934,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
268,0.9933,-130.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
269,0.9933,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
270,0.9933,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
271,0.9933,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
272,0.9932,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
273,0.9932,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
274,0.9932,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
275,0.9932,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
276,0.9931,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
277,0.9931,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
278,0.9931,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
279,0.9931,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
280,0.993,-158.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
281,0.993,-138.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
282,0.993,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
283,0.993,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
284,0.9929,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
285,0.9929,-166.0,50,0,23,0,0,0,ENERGY_DEPLETED,8
286,0.9929,-150.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
287,0.9929,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
288,0.9928,-76.0,50,0,14,0,1,0,ENERGY_DEPLETED,8
289,0.9928,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
290,0.9928,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
291,0.9928,-162.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
292,0.9927,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
293,0.9927,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
294,0.9927,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
295,0.9927,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
296,0.9926,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
297,0.9926,-140.0,50,0,13,2,0,0,ENERGY_DEPLETED,8
298,0.9926,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
299,0.9926,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
300,0.9925,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
301,0.9925,-118.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
302,0.9925,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
303,0.9925,-130.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
304,0.9924,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
305,0.9924,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
306,0.9924,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
307,0.9924,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
308,0.9923,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
309,0.9923,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
310,0.9923,-110.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
311,0.9923,-118.0,50,0,12,0,0,0,ENERGY_DEPLETED,8
312,0.9922,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
313,0.9922,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
314,0.9922,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
315,0.9922,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
316,0.9921,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
317,0.9921,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
318,0.9921,-102.0,50,0,8,0,0,0,ENERGY_DEPLETED,8
319,0.9921,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
320,0.992,-154.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
321,0.992,-142.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
322,0.992,-118.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
323,0.992,-126.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
324,0.9919,-158.0,50,0,22,0,0,0,ENERGY_DEPLETED,8
325,0.9919,-146.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
326,0.9919,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
327,0.9919,-154.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
328,0.9918,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
329,0.9918,-122.0,50,0,13,0,0,0,ENERGY_DEPLETED,8
330,0.9918,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
331,0.9918,-110.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
332,0.9917,-110.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
333,0.9917,-64.0,50,0,11,0,1,0,ENERGY_DEPLETED,8
334,0.9917,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
335,0.9917,-154.0,50,0,21,0,0,0,ENERGY_DEPLETED,8
336,0.9916,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
337,0.9916,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
338,0.9916,-162.0,50,0,23,0,0,0,ENERGY_DEPLETED,8
339,0.9916,-106.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
340,0.9915,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
341,0.9915,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
342,0.9915,-114.0,50,0,11,0,0,0,ENERGY_DEPLETED,8
343,0.9915,-94.0,50,0,6,0,0,0,ENERGY_DEPLETED,8
344,0.9914,-146.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
345,0.9914,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
346,0.9914,-110.0,50,0,9,0,0,0,ENERGY_DEPLETED,8
347,0.9914,-134.0,50,0,16,0,0,0,ENERGY_DEPLETED,8
348,0.9914,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
349,0.9913,-68.0,50,0,12,0,1,0,ENERGY_DEPLETED,8
350,0.9913,-138.0,50,0,17,0,0,0,ENERGY_DEPLETED,8
351,0.9913,-130.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
352,0.9913,-126.0,50,0,14,0,0,0,ENERGY_DEPLETED,8
353,0.9912,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
354,0.9912,-142.0,50,0,18,0,0,0,ENERGY_DEPLETED,8
355,0.9912,-134.0,50,0,15,0,0,0,ENERGY_DEPLETED,8
356,0.9912,-150.0,50,0,20,0,0,0,ENERGY_DEPLETED,8
357,0.9911,-150.0,50,0,19,0,0,0,ENERGY_DEPLETED,8
